Date,Product,Region,Sales,Profit,Quantity
2024-04-18,Metformin,South,31211,1743,112
2024-04-19,Metformin,North,42220,4209,431
2024-04-20,Paracetamol,West,31646,1581,201
2024-04-21,Metformin,West,43649,6279,261
2024-04-22,Omeprazole,West,28049,7119,235
2024-04-23,Metformin,West,19069,955,303
2024-04-24,Paracetamol,West,37580,5424,315
2024-04-25,Omeprazole,East,36843,1394,107
2024-04-26,Amoxicillin,East,7849,1884,347
2024-04-27,Metformin,North,45158,2458,295
2024-04-28,Paracetamol,West,28289,3572,344
2024-04-29,Amoxicillin,North,49690,7030,356
2024-04-30,Amoxicillin,West,40257,2496,444
2024-05-01,Atorvastatin,West,14823,6991,456
2024-05-02,Omeprazole,East,46975,4785,491
2024-05-03,Metformin,East,14540,1004,317
2024-05-04,Paracetamol,South,21364,1714,258
2024-05-05,Atorvastatin,East,9611,2031,175
2024-05-06,Omeprazole,South,32663,3940,490
2024-05-07,Atorvastatin,South,43646,1323,481
2024-05-08,Omeprazole,South,35977,1428,344
2024-05-09,Omeprazole,South,34168,5529,39
2024-05-10,Metformin,South,30471,5736,256
2024-05-11,Omeprazole,North,27687,633,115
2024-05-12,Atorvastatin,East,5851,2605,60
2024-05-13,Omeprazole,South,23071,4127,90
2024-05-14,Metformin,West,11833,5280,142
2024-05-15,Metformin,East,16938,7315,294
2024-05-16,Atorvastatin,East,40195,6816,397
2024-05-17,Amoxicillin,South,31144,2352,147
2024-05-18,Amoxicillin,North,9000,5410,193
2024-05-19,Omeprazole,South,10052,5768,410
2024-05-20,Paracetamol,North,40506,4675,339
2024-05-21,Omeprazole,West,33074,3433,282
2024-05-22,Atorvastatin,East,43155,3784,349
2024-05-23,Atorvastatin,West,45770,4798,481
2024-05-24,Atorvastatin,North,37320,3311,78
2024-05-25,Atorvastatin,North,43304,5848,43
2024-05-26,Atorvastatin,West,8913,6295,271
2024-05-27,Metformin,North,22450,1750,62
2024-05-28,Amoxicillin,West,29107,6278,459
2024-05-29,Atorvastatin,East,25764,6151,214
2024-05-30,Paracetamol,West,48404,4012,135
2024-05-31,Paracetamol,East,25491,6690,244
2024-06-01,Paracetamol,West,43494,1756,52
2024-06-02,Paracetamol,North,8373,3876,249
2024-06-03,Metformin,West,17161,6145,468
2024-06-04,Paracetamol,North,36996,5762,380
2024-06-05,Atorvastatin,West,32122,3986,120
2024-06-06,Omeprazole,West,39850,4084,258
2024-06-07,Paracetamol,South,32350,1896,160
2024-06-08,Metformin,North,32472,4137,192
2024-06-09,Metformin,South,33761,3830,345
2024-06-10,Paracetamol,North,30351,3203,104
2024-06-11,Omeprazole,South,28132,970,468
2024-06-12,Paracetamol,East,20305,7614,383
2024-06-13,Metformin,West,14817,5631,409
2024-06-14,Amoxicillin,North,16261,1853,17
2024-06-15,Atorvastatin,North,5417,3283,397
2024-06-16,Metformin,West,46576,3331,369
2024-06-17,Paracetamol,North,25358,5563,397
2024-06-18,Atorvastatin,North,8267,857,193
2024-06-19,Paracetamol,South,22209,3519,290
2024-06-20,Paracetamol,North,29052,1167,204
2024-06-21,Amoxicillin,East,43513,4968,361
2024-06-22,Atorvastatin,East,31092,5627,204
2024-06-23,Atorvastatin,West,16338,1645,164
2024-06-24,Amoxicillin,North,5412,5967,102
2024-06-25,Metformin,West,12543,7319,169
2024-06-26,Paracetamol,East,45355,4685,443
2024-06-27,Omeprazole,North,38496,4219,70
2024-06-28,Paracetamol,North,28548,3245,131
2024-06-29,Paracetamol,West,32384,7983,60
2024-06-30,Metformin,East,49425,7845,412
2024-07-01,Paracetamol,North,43756,1039,286
2024-07-02,Amoxicillin,West,23888,3279,14
2024-07-03,Amoxicillin,East,40735,5464,475
2024-07-04,Atorvastatin,West,22506,4636,101
2024-07-05,Omeprazole,South,25463,5335,179
2024-07-06,Paracetamol,North,22955,4275,326
2024-07-07,Paracetamol,South,42841,6542,31
2024-07-08,Metformin,East,10104,7145,414
2024-07-09,Amoxicillin,South,39911,7602,335
2024-07-10,Omeprazole,South,28190,7812,10
2024-07-11,Atorvastatin,East,12357,5820,142
2024-07-12,Amoxicillin,West,37479,5524,242
2024-07-13,Atorvastatin,South,49811,6632,21
2024-07-14,Metformin,West,41208,3008,355
2024-07-15,Metformin,South,25150,3279,55
2024-07-16,Paracetamol,West,10644,7395,43
2024-07-17,Omeprazole,East,48286,1424,442
2024-07-18,Atorvastatin,South,7914,3456,87
